LSTM Multi-Step Ahead Prediction
Configuration:
  Lookback window (K): 10 timesteps
  Prediction horizon (N): 10 timesteps
  Input features: 9
  Output features: 3
  Epochs: 1000
  Random seed: 42

Data/Quadcopter_Datasets/all_combined_reordered.csv rows: 21164 Cols: 9 (21164x9)
Number of training samples: 21145 after removing windowSize and loopback
Converted eigen matrix to Tensor
Tensor shape: [21164, 9]
Data standardized successfully.
Angles tensor shape: [21164, 3]

Data Shapes
X (inputs):  [21145, 10, 9]
y (targets): [21145, 10, 3]
Train: 16916 samples | Val: 4229 samples (80/20 split)

Model Created
Architecture: Input(9) -> LSTM(128) -> Attention -> FC(30)

Training Configuration
Batch size: 64
Epochs: 1000
Learning rate: 0.001
Optimizer: Adam
Loss function: torch::nn::MSELossImpl

Starting Training
Epoch 410 | Train Loss: 0.008861 | Val Loss: 0.019159
Epoch 415 | Train Loss: 0.008808 | Val Loss: 0.021478
Epoch 420 | Train Loss: 0.008893 | Val Loss: 0.019466
Epoch 425 | Train Loss: 0.008807 | Val Loss: 0.020222
Epoch 430 | Train Loss: 0.008786 | Val Loss: 0.018862
Epoch 435 | Train Loss: 0.008805 | Val Loss: 0.017191
Epoch 440 | Train Loss: 0.008766 | Val Loss: 0.019431
Epoch 445 | Train Loss: 0.008739 | Val Loss: 0.016162
Epoch 450 | Train Loss: 0.008858 | Val Loss: 0.018399
Epoch 455 | Train Loss: 0.008868 | Val Loss: 0.018064
Epoch 460 | Train Loss: 0.008830 | Val Loss: 0.017270
Epoch 465 | Train Loss: 0.008706 | Val Loss: 0.017361
Epoch 470 | Train Loss: 0.008704 | Val Loss: 0.016338
Epoch 475 | Train Loss: 0.008804 | Val Loss: 0.019079
Epoch 480 | Train Loss: 0.008791 | Val Loss: 0.017598
Epoch 485 | Train Loss: 0.008864 | Val Loss: 0.016807
Epoch 490 | Train Loss: 0.008712 | Val Loss: 0.015818
Epoch 495 | Train Loss: 0.008639 | Val Loss: 0.017515
